3107739419949991174	[13,15276,15932,15957]	[3,3,3,3]
3107877605109388872	[7,10518,10525]	[25,25,25]
3107878074863614953	[5,6,11,13,10634,11144,11176,15276,15932,15945,15957,15958,15959,15960,15963,15978,16017,16442]	[1,164,1,3,1,164,1,47,11,1,3,33,2,2,1,5,5,1]
3107902679462161327	[5,19,10634,10740,10816,11176,15276,15922,15943,15953,15958,15973,16007,16452]	[1,4,1,4,4,1,6,4,1,1,1,4,1,1]
3107992209253890334	[6,13,11101,11104,11144,15276,15932,15957]	[37,13,5,5,37,13,13,13]
3108264125282211649	[1,10274,10279,15276,15929,15967,16002]	[3,2,1,3,3,1,2]
3108359846772868336	[2,5,6,13,10637,10900,11144,11146,15276,15913,15914,15917,15932,15935,15941,15953,15957,15958,15963,15970,16012,16442]	[2,2,70,2,2,2,70,2,16,1,2,1,6,2,1,2,4,3,3,4,2,3]
3108538493192018689	[7,10520,10532,15276,15994]	[19,19,19,1,1]
3108703817779713235	[1,6,7,8,9,10278,10298,10519,11050,11053,11144,15276,15928,15929,15936,15958,15975,15991,16003,16447,16462,16464]	[4,34,3,1,7,4,4,3,7,7,34,7,3,1,1,4,1,3,3,3,3,3]
3108754355790414854	[6,9,14,10700,11144,15276,15932,15942,15958,15963,15978,16442,16455,16456,16466]	[56,1,1,1,56,5,4,1,2,1,3,1,1,1,1]
3108769328621557578	[2,19,10740,10742,10744,10745,10747,10768,10816,10900,10901,10906,10907,11076,11159,15276,15911,15922,15930,15955,15970,15973]	[34,44,13,16,29,23,6,15,13,17,30,16,14,15,15,32,3,13,8,1,17,13]
3108781698844894350	[6,9,19,10740,10816,11146,15276,15912,15922,15932,15935,15942,15973]	[1,7,7,7,7,1,100,92,7,1,1,7,7]
3108802685432176878	[6,11144,15276,15931,15958]	[14,14,6,6,6]
3109159806401004956	[1,10274,10278,10298,15276,15929,15969,16002]	[4,3,3,3,4,3,1,2]
3109167102067382683	[2,6,7,10519,10527,10900,11144,11146,15276,15928,15932,15935,15950,15958,16447,16491]	[1,6,2,2,2,1,3,3,7,2,3,3,2,4,2,2]
3109178497662825369	[2,10900,15276,15961,15970]	[2,2,2,2,2]
3109179478375712341	[2,6,9,11,13,19,10614,10740,10742,10816,10854,10896,10900,10901,10906,11076,11144,11146,11155,11180,15276,15914,15932,15935,15942,15945,15955,15957,15958,15963,15970,15973,15978,15989,16009,16012,16442,16466]	[8,114,3,1,1,1,1,1,1,1,4,1,4,1,1,1,114,4,1,3,23,1,7,4,3,1,1,1,3,2,7,1,1,1,3,1,1,1]
3109193077734461058	[6,13,11144,15276,15932,15957]	[58,4,58,4,4,4]
3109317630179504994	[2,7,17,10518,10525,10902,10913,11184,11185,15276,15928,15955,15958,15969,15995,16447,16448]	[79,2,79,2,2,79,79,79,79,2,2,1,1,1,2,1,1]
3109405345027117827	[6,13,11144,15276,15931,15932,15937,15952,15957,15958,15975,15978,16017]	[21,5,21,38,14,6,9,1,5,14,17,1,1]
3109469291626744289	[2,6,19,10739,10850,10900,10901,10903,11144,15276,15918,15930,15934,15958,15963,15970,16442]	[68,84,1,1,2,68,1,1,84,28,1,1,2,2,1,26,1]
3109517696968696361	[2,6,7,9,19,10518,10525,10603,10740,10742,10765,10816,10900,11076,11108,11144,11155,15276,15922,15928,15938,15941,15942,15962,15969,15970,15973,15995]	[7,66,1,13,5,1,1,1,1,2,2,1,7,2,1,66,2,33,1,1,1,13,12,1,6,7,1,1]
3109574893699967607	[1,6,9,11,19,10278,10298,10606,10740,10742,10816,11050,11052,11055,11060,11076,11142,11144,11155,15276,15929,15932,15942,15954,15955,15958,15973]	[7,27,11,1,1,7,7,1,1,1,1,1,1,1,1,1,8,19,1,25,1,8,9,8,1,6,1]
3109620769398728422	[6,9,13,19,10603,10740,10816,11050,11051,11076,11108,11144,11155,15276,15922,15931,15957,15958,15973]	[3,1,1,2,1,2,2,1,1,1,1,3,1,4,2,1,1,1,2]
3109705650834426838	[1,6,11144,15276,15929]	[11,1,1,11,11]
3109913517185104362	[1,6,19,10740,10816,10922,11144]	[2,3,51,51,51,2,3]
3109938622657740893	[7,10518,10525,15276,15948,15958,15981]	[4,4,4,4,3,1,3]
3110037450894163753	[15276,15937,15975]	[2,2,2]
